frame.time_delta,frame.time_relative,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,tcp.time_delta,tcp.len,tcp.ack,tcp.connection.fin,tcp.connection.rst,tcp.connection.sack,tcp.connection.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.urg,tcp.hdr_len,tcp.payload,tcp.pdu.size,tcp.window_size_value,tcp.checksum,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.val,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgtype,mqtt.qos,mqtt.retain,mqtt.topic,mqtt.topic_len,mqtt.ver,mqtt.willmsg_len,ip.proto,ip.ttl,class,label
1.40E-05,0.001632,66,10.16.120.44,10.16.120.72,56834,1883,0x00000010,0.000354,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x000079f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.20E-05,0.001644,66,10.16.120.44,10.16.120.72,56832,1883,0x00000010,0.000351,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x00004871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.30E-05,0.001657,66,10.16.120.44,10.16.120.72,56836,1883,0x00000010,0.000351,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000ada9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.40E-05,0.001671,66,10.16.120.44,10.16.120.72,56838,1883,0x00000010,0.000351,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000cfcb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
0.000259,0.00193,74,10.16.120.44,10.16.120.72,56840,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x0000a242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.50E-05,0.001945,74,10.16.120.72,10.16.120.44,1883,56840,0x00000012,1.50E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x0000f4ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
0.00027,0.002215,74,10.16.120.44,10.16.120.72,56842,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x0000a965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.40E-05,0.002229,74,10.16.120.72,10.16.120.44,1883,56842,0x00000012,1.40E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x00004bd3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
4.00E-06,0.002233,66,10.16.120.44,10.16.120.72,56840,1883,0x00000010,0.000288,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x000093b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.80E-05,0.002251,74,10.16.120.44,10.16.120.72,56844,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x000083db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.10E-05,0.002262,74,10.16.120.72,10.16.120.44,1883,56844,0x00000012,1.10E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x00000b93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
0.00024,0.002502,74,10.16.120.44,10.16.120.72,56846,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x00000795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.50E-05,0.002517,74,10.16.120.72,10.16.120.44,1883,56846,0x00000012,1.50E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x000090ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
0.000231,0.002748,66,10.16.120.44,10.16.120.72,56842,1883,0x00000010,0.000519,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000eada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
2.10E-05,0.002769,66,10.16.120.44,10.16.120.72,56844,1883,0x00000010,0.000507,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000aa9a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.40E-05,0.002783,66,10.16.120.44,10.16.120.72,56846,1883,0x00000010,0.000266,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x00002fb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
0.000227,0.00301,74,10.16.120.44,10.16.120.72,56848,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x000045bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.60E-05,0.003026,74,10.16.120.72,10.16.120.44,1883,56848,0x00000012,1.60E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x00006571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
5.00E-06,0.003031,74,10.16.120.44,10.16.120.72,56850,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x0000d7c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.10E-05,0.003042,74,10.16.120.72,10.16.120.44,1883,56850,0x00000012,1.10E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x00005180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
4.00E-06,0.003046,74,10.16.120.44,10.16.120.72,56852,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x00007f04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.00E-05,0.003056,74,10.16.120.72,10.16.120.44,1883,56852,0x00000012,1.00E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x0000a805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
4.00E-06,0.00306,74,10.16.120.44,10.16.120.72,56860,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x00008036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.00E-05,0.00307,74,10.16.120.72,10.16.120.44,1883,56860,0x00000012,1.00E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x00001d6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
0.000247,0.003317,74,10.16.120.44,10.16.120.72,56862,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x0000aabf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.10E-05,0.003328,74,10.16.120.72,10.16.120.44,1883,56862,0x00000012,1.10E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x00007707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
3.00E-06,0.003331,66,10.16.120.44,10.16.120.72,56848,1883,0x00000010,0.000305,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x00000479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
2.10E-05,0.003352,66,10.16.120.44,10.16.120.72,56850,1883,0x00000010,0.00031,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000f087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.40E-05,0.003366,66,10.16.120.44,10.16.120.72,56852,1883,0x00000010,0.00031,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000470d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.40E-05,0.00338,74,10.16.120.44,10.16.120.72,56864,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x0000d7a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.20E-05,0.003392,74,10.16.120.72,10.16.120.44,1883,56864,0x00000012,1.20E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x0000f1a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
4.00E-06,0.003396,66,10.16.120.44,10.16.120.72,56860,1883,0x00000010,0.000326,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000bc71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
0.000126,0.003522,66,10.16.120.44,10.16.120.72,56862,1883,0x00000010,0.000194,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000160f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.70E-05,0.003539,66,10.16.120.44,10.16.120.72,56864,1883,0x00000010,0.000147,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x000090a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
0.000275,0.003814,74,10.16.120.44,10.16.120.72,56866,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x00008e36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.70E-05,0.003831,74,10.16.120.72,10.16.120.44,1883,56866,0x00000012,1.70E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x00001f4d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
4.00E-06,0.003835,74,10.16.120.44,10.16.120.72,56868,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x0000b4ae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.00E-05,0.003845,74,10.16.120.72,10.16.120.44,1883,56868,0x00000012,1.00E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x000036a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
4.00E-06,0.003849,74,10.16.120.44,10.16.120.72,56870,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x00003074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
9.00E-06,0.003858,74,10.16.120.72,10.16.120.44,1883,56870,0x00000012,9.00E-06,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x00001e7f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
0.000159,0.004017,74,10.16.120.44,10.16.120.72,56872,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x00003cf0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.10E-05,0.004028,74,10.16.120.72,10.16.120.44,1883,56872,0x00000012,1.10E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x000012f8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
0.000176,0.004204,66,10.16.120.44,10.16.120.72,56866,1883,0x00000010,0.000373,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000be53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
2.10E-05,0.004225,66,10.16.120.44,10.16.120.72,56868,1883,0x00000010,0.00038,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000d5a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.50E-05,0.00424,66,10.16.120.44,10.16.120.72,56870,1883,0x00000010,0.000382,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000bd86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.40E-05,0.004254,66,10.16.120.44,10.16.120.72,56872,1883,0x00000010,0.000226,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000b1ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.30E-05,0.004267,74,10.16.120.44,10.16.120.72,56874,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x00009825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.30E-05,0.00428,74,10.16.120.72,10.16.120.44,1883,56874,0x00000012,1.30E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x00005fe1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
0.000189,0.004469,66,10.16.120.44,10.16.120.72,56874,1883,0x00000010,0.000189,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000fee8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
