frame.time_delta,tcp.time_delta,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,mqtt.hdrflags,mqtt.msgtype,mqtt.qos,mqtt.retain,mqtt.ver,class,label
2.1e-05,0.00031,1,0,0,0,0,0,0,0,Attack,1
1.4e-05,0.00031,1,0,0,0,0,0,0,0,Attack,1
1.4e-05,0.0,0,0,0,0,0,0,0,0,Attack,1
1.2e-05,1.2e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.000326,1,0,0,0,0,0,0,0,Attack,1
0.000126,0.000194,1,0,0,0,0,0,0,0,Attack,1
1.7e-05,0.000147,1,0,0,0,0,0,0,0,Attack,1
0.000275,0.0,0,0,0,0,0,0,0,0,Attack,1
1.7e-05,1.7e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
9e-06,9e-06,1,0,0,0,0,0,0,0,Attack,1
0.000159,0.0,0,0,0,0,0,0,0,0,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
0.000176,0.000373,1,0,0,0,0,0,0,0,Attack,1
2.1e-05,0.00038,1,0,0,0,0,0,0,0,Attack,1
1.5e-05,0.000382,1,0,0,0,0,0,0,0,Attack,1
1.4e-05,0.000226,1,0,0,0,0,0,0,0,Attack,1
1.3e-05,0.0,0,0,0,0,0,0,0,0,Attack,1
1.3e-05,1.3e-05,1,0,0,0,0,0,0,0,Attack,1
0.000189,0.000189,1,0,0,0,0,0,0,0,Attack,1
0.000451,0.0,0,0,0,0,0,0,0,0,Attack,1
1.5e-05,1.5e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
9e-06,9e-06,1,0,0,0,0,0,0,0,Attack,1
0.000335,0.0,0,0,0,0,0,0,0,0,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
3e-06,0.000376,1,0,0,0,0,0,0,0,Attack,1
2e-05,0.000382,1,0,0,0,0,0,0,0,Attack,1
1.5e-05,0.000384,1,0,0,0,0,0,0,0,Attack,1
0.000352,0.0,0,0,0,0,0,0,0,0,Attack,1
1.5e-05,1.5e-05,1,0,0,0,0,0,0,0,Attack,1
5e-06,0.00041,1,0,0,0,0,0,0,0,Attack,1
0.000225,0.0,0,0,0,0,0,0,0,0,Attack,1
1.6e-05,1.6e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.00025,1,0,0,0,0,0,0,0,Attack,1
0.000308,0.0,0,0,0,0,0,0,0,0,Attack,1
1.5e-05,1.5e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
9e-06,9e-06,1,0,0,0,0,0,0,0,Attack,1
3e-06,0.000343,1,0,0,0,0,0,0,0,Attack,1
0.000212,0.0,0,0,0,0,0,0,0,0,Attack,1
1.6e-05,1.6e-05,1,0,0,0,0,0,0,0,Attack,1
3e-06,0.000247,1,0,0,0,0,0,0,0,Attack,1
1.9e-05,0.0,0,0,0,0,0,0,0,0,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.000268,1,0,0,0,0,0,0,0,Attack,1
0.000269,0.000306,1,0,0,0,0,0,0,0,Attack,1
2.6e-05,0.000299,1,0,0,0,0,0,0,0,Attack,1
1.4e-05,0.0,0,0,0,0,0,0,0,0,Attack,1
1.6e-05,1.6e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
0.000267,0.0,0,0,0,0,0,0,0,0,Attack,1
1.8e-05,1.8e-05,1,0,0,0,0,0,0,0,Attack,1
0.000225,0.000525,1,0,0,0,0,0,0,0,Attack,1
2.4e-05,0.000534,1,0,0,0,0,0,0,0,Attack,1
1.5e-05,0.000264,1,0,0,0,0,0,0,0,Attack,1
0.000332,0.0,0,0,0,0,0,0,0,0,Attack,1
1.7e-05,1.7e-05,1,0,0,0,0,0,0,0,Attack,1
0.000513,0.000513,1,0,0,0,0,0,0,0,Attack,1
0.000412,0.0,0,0,0,0,0,0,0,0,Attack,1
1.6e-05,1.6e-05,1,0,0,0,0,0,0,0,Attack,1
0.000678,0.000678,1,0,0,0,0,0,0,0,Attack,1
0.000452,0.00242,1,1,0,0,0,0,0,0,Attack,1
2e-05,2e-05,1,0,0,0,0,0,0,0,Attack,1
0.000225,0.000697,1,1,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
0.000235,0.00047,1,1,0,0x00000010,1,0,0,4,Attack,1
7e-06,7e-06,1,0,0,0,0,0,0,0,Attack,1
7e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1.4e-05,1.4e-05,1,0,0,0,0,0,0,0,Attack,1
5e-06,0.000268,1,1,0,0x00000010,1,0,0,4,Attack,1
6e-06,6e-06,1,0,0,0,0,0,0,0,Attack,1
1.9e-05,5.1e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
4.4e-05,6.3e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
0.000144,0.0,0,0,0,0,0,0,0,0,Attack,1
1.2e-05,1.2e-05,1,0,0,0,0,0,0,0,Attack,1
0.000198,0.000428,1,0,0,0,0,0,0,0,Attack,1
2.3e-05,0.000421,1,0,0,0,0,0,0,0,Attack,1
1e-05,0.000387,1,0,0,0,0,0,0,0,Attack,1
5e-06,0.000236,1,0,0,0,0,0,0,0,Attack,1
0.000287,0.004845,1,1,0,0,0,0,0,0,Attack,1
1.8e-05,1.8e-05,1,0,0,0,0,0,0,0,Attack,1
0.000225,0.0,0,0,0,0,0,0,0,0,Attack,1
1.5e-05,1.5e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
9e-06,9e-06,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.003981,1,1,0,0,0,0,0,0,Attack,1
1.2e-05,1.2e-05,1,0,0,0,0,0,0,0,Attack,1
0.000202,0.000471,1,1,0,0x00000010,1,0,0,4,Attack,1
8e-06,8e-06,1,0,0,0,0,0,0,0,Attack,1
4e-05,4e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
2.3e-05,0.000302,1,0,0,0,0,0,0,0,Attack,1
2.3e-05,0.000312,1,0,0,0,0,0,0,0,Attack,1
1.5e-05,0.000311,1,1,0,0x00000010,1,0,0,4,Attack,1
9e-06,9e-06,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1.2e-05,1.2e-05,1,0,0,0,0,0,0,0,Attack,1
0.000184,0.0002,1,1,0,0x00000020,2,0,0,0,Attack,1
0.000133,0.000403,1,0,0,0,0,0,0,0,Attack,1
1e-05,0.000327,1,0,0,0,0,0,0,0,Attack,1
2.1e-05,0.000164,1,0,0,0,0,0,0,0,Attack,1
0.000626,0.001037,1,1,0,0,0,0,0,0,Attack,1
1.6e-05,1.6e-05,1,0,0,0,0,0,0,0,Attack,1
0.000228,0.0,0,0,0,0,0,0,0,0,Attack,1
1.4e-05,1.4e-05,1,0,0,0,0,0,0,0,Attack,1
0.000232,0.000474,1,1,0,0x00000010,1,0,0,4,Attack,1
6e-06,6e-06,1,0,0,0,0,0,0,0,Attack,1
7e-06,0.000245,1,0,0,0,0,0,0,0,Attack,1
3.3e-05,4e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
0.000364,0.000364,1,0,0,0,0,0,0,0,Attack,1
9e-06,0.001556,1,1,0,0,0,0,0,0,Attack,1
1.4e-05,1.4e-05,1,0,0,0,0,0,0,0,Attack,1
0.000427,0.000427,1,1,0,0x00000010,1,0,0,4,Attack,1
7e-06,7e-06,1,0,0,0,0,0,0,0,Attack,1
7e-06,0.000861,1,1,0,0,0,0,0,0,Attack,1
7e-06,7e-06,1,0,0,0,0,0,0,0,Attack,1
2.4e-05,3.8e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
0.000242,0.0,0,0,0,0,0,0,0,0,Attack,1
1.5e-05,1.5e-05,1,0,0,0,0,0,0,0,Attack,1
3e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
9e-06,9e-06,1,0,0,0,0,0,0,0,Attack,1
3e-06,0.00031,1,1,0,0x00000010,1,0,0,4,Attack,1
7e-06,7e-06,1,0,0,0,0,0,0,0,Attack,1
7e-06,0.0003,1,0,0,0,0,0,0,0,Attack,1
6e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
7e-06,3.5e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
7e-06,1.4e-05,1,0,0,0,0,0,0,0,Attack,1
0.000112,0.0,0,0,0,0,0,0,0,0,Attack,1
1.2e-05,1.2e-05,1,0,0,0,0,0,0,0,Attack,1
3e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
0.00025,0.000465,1,0,0,0,0,0,0,0,Attack,1
2.6e-05,0.0,0,0,0,0,0,0,0,0,Attack,1
1.4e-05,1.4e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.000496,1,0,0,0,0,0,0,0,Attack,1
1.4e-05,0.000497,1,0,0,0,0,0,0,0,Attack,1
1.3e-05,0.0,0,0,0,0,0,0,0,0,Attack,1
1.2e-05,1.2e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.000492,1,0,0,0,0,0,0,0,Attack,1
1.5e-05,0.000496,1,0,0,0,0,0,0,0,Attack,1
7e-06,0.000496,1,0,0,0,0,0,0,0,Attack,1
1.3e-05,0.000385,1,0,0,0,0,0,0,0,Attack,1
1.4e-05,0.000386,1,0,0,0,0,0,0,0,Attack,1
1.4e-05,0.0,0,0,0,0,0,0,0,0,Attack,1
1.3e-05,1.3e-05,1,0,0,0,0,0,0,0,Attack,1
0.000154,0.0,0,0,0,0,0,0,0,0,Attack,1
1.4e-05,1.4e-05,1,0,0,0,0,0,0,0,Attack,1
3e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.000308,1,0,0,0,0,0,0,0,Attack,1
1.4e-05,0.000279,1,0,0,0,0,0,0,0,Attack,1
1.3e-05,0.000212,1,0,0,0,0,0,0,0,Attack,1
0.000149,0.0,0,0,0,0,0,0,0,0,Attack,1
1.4e-05,1.4e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
3e-06,0.000224,1,0,0,0,0,0,0,0,Attack,1
1.5e-05,0.000226,1,0,0,0,0,0,0,0,Attack,1
0.00022,0.000732,1,1,0,0,0,0,0,0,Attack,1
1.2e-05,1.2e-05,1,0,0,0,0,0,0,0,Attack,1
3e-06,0.000267,1,0,0,0,0,0,0,0,Attack,1
1.8e-05,0.000271,1,0,0,0,0,0,0,0,Attack,1
0.000335,0.000356,1,1,0,0x00000010,1,0,0,4,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
3.2e-05,3.2e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
0.000285,0.0,0,0,0,0,0,0,0,0,Attack,1
1.3e-05,1.3e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.000302,1,0,0,0,0,0,0,0,Attack,1
6e-06,0.009534,1,1,0,0,0,0,0,0,Attack,1
1.2e-05,1.2e-05,1,0,0,0,0,0,0,0,Attack,1
0.000415,0.000437,1,0,0,0,0,0,0,0,Attack,1
2.3e-05,0.000438,1,1,0,0x00000010,1,0,0,4,Attack,1
8e-06,8e-06,1,0,0,0,0,0,0,0,Attack,1
0.00015,0.00015,1,1,0,0x00000020,2,0,0,0,Attack,1
6.5e-05,0.010476,1,1,0,0,0,0,0,0,Attack,1
1.4e-05,1.4e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1.3e-05,1.3e-05,1,0,0,0,0,0,0,0,Attack,1
0.000215,0.000311,1,0,0,0,0,0,0,0,Attack,1
7e-06,0.000239,1,1,0,0x00000010,1,0,0,4,Attack,1
6e-06,6e-06,1,0,0,0,0,0,0,0,Attack,1
7e-06,0.000235,1,0,0,0,0,0,0,0,Attack,1
3.1e-05,3.8e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
0.000195,0.010118,1,1,0,0,0,0,0,0,Attack,1
1.6e-05,1.6e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.000215,1,0,0,0,0,0,0,0,Attack,1
0.000389,0.000393,1,1,0,0x00000010,1,0,0,4,Attack,1
6e-06,6e-06,1,0,0,0,0,0,0,0,Attack,1
4e-05,4e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
0.000405,0.000405,1,0,0,0,0,0,0,0,Attack,1
0.000615,0.015614,1,1,0,0,0,0,0,0,Attack,1
1.5e-05,1.5e-05,1,0,0,0,0,0,0,0,Attack,1
0.000312,0.015798,1,1,0,0,0,0,0,0,Attack,1
1.2e-05,1.2e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.000328,1,1,0,0x00000010,1,0,0,4,Attack,1
6e-06,6e-06,1,0,0,0,0,0,0,0,Attack,1
4.2e-05,4.2e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
0.000347,0.000399,1,1,0,0x00000010,1,0,0,4,Attack,1
7e-06,7e-06,1,0,0,0,0,0,0,0,Attack,1
7e-06,0.000361,1,0,0,0,0,0,0,0,Attack,1
7e-06,0.016247,1,1,0,0,0,0,0,0,Attack,1
8e-06,8e-06,1,0,0,0,0,0,0,0,Attack,1
1.5e-05,3.7e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
0.000364,0.015931,1,1,0,0,0,0,0,0,Attack,1
1.4e-05,1.4e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.000397,1,1,0,0x00000010,1,0,0,4,Attack,1
5e-06,5e-06,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.000391,1,0,0,0,0,0,0,0,Attack,1
3.3e-05,3.7e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
0.000595,0.000641,1,1,0,0x00000010,1,0,0,4,Attack,1
7e-06,7e-06,1,0,0,0,0,0,0,0,Attack,1
7e-06,0.000609,1,0,0,0,0,0,0,0,Attack,1
6e-06,0.017479,1,1,0,0,0,0,0,0,Attack,1
8e-06,8e-06,1,0,0,0,0,0,0,0,Attack,1
1.5e-05,3.6e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
0.000408,0.000423,1,1,0,0x00000010,1,0,0,4,Attack,1
7e-06,7e-06,1,0,0,0,0,0,0,0,Attack,1
8e-06,0.000423,1,0,0,0,0,0,0,0,Attack,1
2.8e-05,3.6e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
0.000448,0.000448,1,0,0,0,0,0,0,0,Attack,1
6e-06,0.019011,1,1,0,0,0,0,0,0,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1.7e-05,1.7e-05,1,0,0,0,0,0,0,0,Attack,1
0.000513,0.000534,1,1,0,0x00000010,1,0,0,4,Attack,1
7e-06,7e-06,1,0,0,0,0,0,0,0,Attack,1
8e-06,0.000528,1,0,0,0,0,0,0,0,Attack,1
2e-05,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,3.8e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
2e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
3e-06,1.5e-05,1,0,0,0,0,0,0,0,Attack,1
7e-06,1e-05,1,0,0,0,0,0,0,0,Attack,1
0.000603,0.000615,1,0,0,0,0,0,0,0,Attack,1
1.2e-05,0.000622,1,0,0,0,0,0,0,0,Attack,1
2.2e-05,0.000637,1,0,0,0,0,0,0,0,Attack,1
1.3e-05,0.0,0,0,0,0,0,0,0,0,Attack,1
1.7e-05,1.7e-05,1,0,0,0,0,0,0,0,Attack,1
5e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
0.000185,0.0,0,0,0,0,0,0,0,0,Attack,1
1.5e-05,1.5e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
3e-06,0.000232,1,0,0,0,0,0,0,0,Attack,1
1.9e-05,0.000236,1,0,0,0,0,0,0,0,Attack,1
0.000147,0.000428,1,1,0,0,0,0,0,0,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.000198,1,0,0,0,0,0,0,0,Attack,1
1.8e-05,0.000202,1,0,0,0,0,0,0,0,Attack,1
0.000302,0.000324,1,1,0,0x00000010,1,0,0,4,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
4.3e-05,4.3e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
0.000315,0.000315,1,0,0,0,0,0,0,0,Attack,1
8e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1.3e-05,1.3e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.022553,1,1,0,0,0,0,0,0,Attack,1
1.2e-05,1.2e-05,1,0,0,0,0,0,0,0,Attack,1
0.00025,0.0,0,0,0,0,0,0,0,0,Attack,1
1.2e-05,1.2e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.000282,1,0,0,0,0,0,0,0,Attack,1
2.1e-05,0.000287,1,1,0,0x00000010,1,0,0,4,Attack,1
7e-06,7e-06,1,0,0,0,0,0,0,0,Attack,1
0.000145,0.000145,1,1,0,0x00000020,2,0,0,0,Attack,1
0.000507,0.000684,1,0,0,0,0,0,0,0,Attack,1
2.3e-05,0.00053,1,0,0,0,0,0,0,0,Attack,1
0.000224,0.0,0,0,0,0,0,0,0,0,Attack,1
1.8e-05,1.8e-05,1,0,0,0,0,0,0,0,Attack,1
0.000186,0.0,0,0,0,0,0,0,0,0,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
3e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
0.000166,0.000655,1,1,0,0,0,0,0,0,Attack,1
1.3e-05,1.3e-05,1,0,0,0,0,0,0,0,Attack,1
0.000192,0.000595,1,0,0,0,0,0,0,0,Attack,1
2.1e-05,0.000419,1,0,0,0,0,0,0,0,Attack,1
1.3e-05,0.000418,1,0,0,0,0,0,0,0,Attack,1
1.4e-05,0.000419,1,0,0,0,0,0,0,0,Attack,1
3.1e-05,0.000271,1,1,0,0x00000010,1,0,0,4,Attack,1
9e-06,9e-06,1,0,0,0,0,0,0,0,Attack,1
0.000306,0.000306,1,1,0,0x00000020,2,0,0,0,Attack,1
9.8e-05,0.0,0,0,0,0,0,0,0,0,Attack,1
1.4e-05,1.4e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
9e-06,9e-06,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.000129,1,0,0,0,0,0,0,0,Attack,1
0.000173,0.00019,1,0,0,0,0,0,0,0,Attack,1
2.1e-05,0.000198,1,0,0,0,0,0,0,0,Attack,1
0.000228,0.0,0,0,0,0,0,0,0,0,Attack,1
2e-05,2e-05,1,0,0,0,0,0,0,0,Attack,1
0.000264,0.0,0,0,0,0,0,0,0,0,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
3e-06,0.000278,1,0,0,0,0,0,0,0,Attack,1
0.000342,0.000345,1,0,0,0,0,0,0,0,Attack,1
2.1e-05,0.0,0,0,0,0,0,0,0,0,Attack,1
1.5e-05,1.5e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
0.00022,0.0,0,0,0,0,0,0,0,0,Attack,1
1.5e-05,1.5e-05,1,0,0,0,0,0,0,0,Attack,1
3e-06,0.000266,1,0,0,0,0,0,0,0,Attack,1
2.2e-05,0.000274,1,0,0,0,0,0,0,0,Attack,1
1.3e-05,0.000273,1,0,0,0,0,0,0,0,Attack,1
0.00025,0.000288,1,0,0,0,0,0,0,0,Attack,1
0.001271,0.007096,1,1,0,0,0,0,0,0,Attack,1
1.8e-05,1.8e-05,1,0,0,0,0,0,0,0,Attack,1
0.000471,0.000471,1,1,0,0x00000010,1,0,0,4,Attack,1
7e-06,7e-06,1,0,0,0,0,0,0,0,Attack,1
4.1e-05,4.1e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
0.000403,0.000403,1,0,0,0,0,0,0,0,Attack,1
8e-06,0.025052,1,1,0,0,0,0,0,0,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
0.000186,0.015577,1,1,0,0,0,0,0,0,Attack,1
1.3e-05,1.3e-05,1,0,0,0,0,0,0,0,Attack,1
5e-06,0.000204,1,1,0,0x00000010,1,0,0,4,Attack,1
5e-06,5e-06,1,0,0,0,0,0,0,0,Attack,1
3.9e-05,3.9e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
0.000393,0.000442,1,1,0,0x00000010,1,0,0,4,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
8e-06,0.000412,1,0,0,0,0,0,0,0,Attack,1
3.5e-05,4.3e-05,1,1,0,0x00000020,2,0,0,0,Attack,1
0.000392,0.000392,1,0,0,0,0,0,0,0,Attack,1
0.000819,0.031167,1,1,0,0,0,0,0,0,Attack,1
1.4e-05,1.4e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1.7e-05,1.7e-05,1,0,0,0,0,0,0,0,Attack,1
0.000703,0.000724,1,1,0,0x00000010,1,0,0,4,Attack,1
6e-06,6e-06,1,0,0,0,0,0,0,0,Attack,1
8e-06,0.000717,1,0,0,0,0,0,0,0,Attack,1
